Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.6677130451342007,59.656531531531535,0.5403980971859382,76.12612612612612
2,0.5449845361951235,74.80292792792793,0.40834261091040064,82.43243243243244
3,0.45870937577759224,82.2072072072072,0.3180647148826235,86.71171171171171
4,0.3987635025389593,86.00788288288288,0.292774677125586,87.16216216216216
5,0.32837432368578773,90.09009009009009,0.32445888118902305,85.13513513513513
6,0.270914187441687,92.51126126126127,0.27801494729476517,88.85135135135135
7,0.2329155985626294,95.10135135135135,0.2601925239200231,90.09009009009009
8,0.2015610137717433,95.86148648648648,0.2955714287703043,89.07657657657657
9,0.2047200148484957,96.31193693693693,0.2802510148093633,89.3018018018018
10,0.17081201291246745,97.21283783783784,0.27352523987458366,88.62612612612612
